제목,구분,카테고리,지역,연령,성별
[노원구] 관계의 참견,프로그램,기타,노원구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
마포1家_반려동물편 참여자 모집(모집종료),프로그램,기타,마포구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
[성동당당] 띵가띵당 - 칼림바 교실,프로그램,외로움,성동구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
청년1인가구 생활체육 프로그램 '무브-업 클라이밍',프로그램,기타,광진구,"20,30","남성,여성"
1인가구 자기돌봄 프로그램 '워크원',프로그램,기타,동작구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
[1인가구 주거복지 교육] 2021년 하반기 주거복지제도 이해하기,프로그램,주거,강남구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
[동대문구] 1인가구 생활력 향상 프로젝트 '동일이네 살림백서',프로그램,기타,동대문구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
[토요시네마]2월 토요시네마 상영작 안내,프로그램,기타,강남구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
2024년 1인가구 개인심리상담,상담,외로움,송파구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
[종로구] 7월 1인가구 여가지원 '취미샘플러: 홈 카페' 참여자 모집 안내,프로그램,기타,종로구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
8월 공공공감 플리마켓 판매자 모집,행사,외로움,강남구,"20,30,40,50,60,70,80,90,100","남성,여성"
(마감) [성동구 마장동] 스마트폰으로 건강해지기!,프로그램,기타,성동구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
1인가구지원사업_교육 및 공예활동 성교육 및 무드등 만들기,프로그램,기타,중랑구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
1인가구 마음충전_개인심리상담,상담,기타,중랑구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
[동작구] 1인가구지원프로그램 '지구 지키미',프로그램,기타,동작구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
1인가구 청년 자기이해 프로그램 '어린왕자와 함께 떠나는 마음여행',프로그램,기타,도봉구,"20,30","남성,여성"
1인가구 친구초대 이벤트,행사,기타,광진구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
2024년 1인가구 사회적 관계망 모임 '원더랜드',프로그램,기타,동작구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
청년 1인가구 지원사업 '신.이.나' 특별프로그램 'self 지킴 <호신술>'배우기,프로그램,안전,영등포구,"20,30","남성,여성"
1인가구 생활력 향상 프로젝트 '동일이네 살림백서',프로그램,기타,동대문구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
(모집완료)[중랑구] 1인가구지원사업 교육 및 공예활동 (5월),프로그램,기타,중랑구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
(모집완료)[중랑구] 1인가구건강관리_1인 홈트!(4월),프로그램,기타,중랑구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
2023 안심장비지원사업 (조기마감/대기자 접수),프로그램,안전,중랑구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
도심캠핑 프로그램 '구로스테이' 참여자 모집 (2월),프로그램,기타,구로구,"20,30,40,50","남성,여성"
"[양천구] 1인가구, 홈캉스 '건강한 워라벨과 마음 디톡스'",프로그램,기타,양천구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
