제목,구분,카테고리,지역,연령,성별
일상생활지원,프로그램,기타,광진구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
[인문학]1인가구 경제교육,프로그램,경제/일자리,강남구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
강동구1인가구지원센터 북카페,프로그램,기타,강동구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
[송파구1인가구지원센터]자기개발프로그램'나를 위한 자기탐색',프로그램,기타,송파구,"20,30","남성,여성"
(개인) 1인가구 사회적관계망 '1인가구 동아리',소모임,외로움,양천구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
1인가구 사회적 관계망 지원(자조모임) '커피반상회' 모임원 모집,소모임,외로움,성북구,"40,50","남성,여성"
[커뮤니티사업] 오픈커뮤니티 밤양갱 만들기,프로그램,기타,강남구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
1인가구 인문학 강좌 :: 경제?재무교육,프로그램,경제/일자리,강남구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
1인가구 여가ㆍ문화 지원 '월간문화' 참여자 [3월] 모집,프로그램,기타,종로구,"20,30,40,50","남성,여성"
[마포구]혼자 커피 한 잔 할래요(모집종료),프로그램,외로움,마포구,"0,10,20,20,30,40,50","남성,여성"
완벽한 솔로생활 -3월-,프로그램,기타,용산구,"20,30,40,50,60,70,80,90,100","남성,여성"
나눔의 미덕,프로그램,기타,동대문구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
[마감] 상반기 텃밭활동&나눔활동 참여 대기자 모집 안내,프로그램,기타,강동구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
[1인가구 오픈형소모임] 차 모임 오가茶(다),소모임,경제/일자리,강남구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
2024 셀프 집수리 1차(모집 마감),프로그램,주거,마포구,"20,30,40,50,60,70,80,90,100","남성,여성"
2024년 1인가구의 밤(시간관리) '내가 새로 쓰는 시간',프로그램,기타,영등포구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
"공통프로그램 '헬로, 마이독'",프로그램,기타,노원구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
주거환경개선 '안전하집',프로그램,주거,양천구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
[사회적 관계망] 친목도모 프로그램 '함께 힐링 할래-시즌1',프로그램,외로움,광진구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
슬기로운 1인생활,프로그램,기타,용산구,"20,30,40,50","남성,여성"
<모집 종료> [용산구] 완벽한 솔로생활_5월 프로그램,프로그램,기타,용산구,"20,30,40,50","남성,여성"
[노원구] 독립생활능력프로그램 <우리집 작은 텃밭>,프로그램,기타,노원구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
강동구1인가구지원센터 공구도서관,프로그램,기타,강동구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
중장년1인가구소셜다이닝'행복한밥상'(4월 접수 마감),프로그램,기타,송파구,"40,50,60,70,80,90,100","남성,여성"
동일이와 노라조,소모임,기타,동대문구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
[노원구] 비건 이야기,프로그램,기타,노원구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
양천구 상담멘토링 멘티 모집,상담,외로움,양천구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
(종료) 성동구 보건소와 함께하는 찾아가는 자살예방교육(12/14),프로그램,외로움,성동구,"20,30,40,50,60,70,80,90,100","남성,여성"
[진행중] 강동싱글(요가) 참여자 모집,프로그램,기타,강동구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
"중장년 1인가구 '같이, 가치' 6월 프로그램 안내",프로그램,기타,용산구,"40,50,60,70,80,90,100","남성,여성"
[북한이탈주민지원사업] 원(1)하는대로 서울문화체험,프로그램,기타,양천구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
싱글포유(3월) - 벚꽃 캔들홀더 & 티라이트 캔들 만들기,프로그램,기타,양천구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
홍당무 마켓,행사,외로움,중구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
[동작구] 1인가구 여가문화 프로그램 '싱글쿡2' 참여자 모집,프로그램,기타,동작구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
강동구1인가구지원센터 개관1주년 기념식,행사,기타,강동구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
1인가구 자아찾기 '나의 버킷리스트',프로그램,기타,영등포구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
1인가구 사회적 관계망 동아리 '봉랑채',소모임,기타,도봉구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
도심캠핑 프로그램 '구로스테이' 4월,프로그램,기타,구로구,"0,10,20,20,30,40,50","남성,여성"
(마감) 가치있는 한 끼,프로그램,기타,성동구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
1인가구 관계증진 '슬기로운 1인생활' 참여자 추가 모집,프로그램,기타,종로구,"20,30","남성,여성"
1인가구 동아리 <차담회> 모임원 모집,소모임,외로움,성북구,"20,30,40,50","남성,여성"
[강서구]1인가구 사회적관계망 지원 '함께 Well-living 모임' [모집마감],프로그램,기타,강서구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
마음 더함 상담실,상담,기타,도봉구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
<모집 종료> [1인가구지원사업] '완벽한 솔로생활 6월 프로그램' 모집 안내,프로그램,기타,용산구,"20,30,40,50","남성,여성"
[모집완료] 1인가구 상담멘토링 멘티 모집,상담,기타,구로구,"20,30,40,50","남성,여성"
[커뮤니티사업] 신규 회원 대상 <우리 센터 길라잡이>,프로그램,기타,강남구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
[마감] 중장년 1인가구 자조모임 '동네맛집지도',프로그램,기타,영등포구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
상담,상담,안전,광진구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
"[노원구] 1인가구, 하고 싶은 거 다 해!",소모임,기타,노원구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
"[마포구]걸어서 마포속으로-예술의 도시, 마포편 (모집종료)",프로그램,기타,마포구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
[중랑구] 1인가구지원사업 사회적관계망 서로이웃 추가모집,프로그램,기타,중랑구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
건강루틴챌린지 '당신 근처의 친구' (1기),프로그램,기타,구로구,"20,30,40,50","남성,여성"
[마감] 술꾼도시1인가구 1편,프로그램,기타,영등포구,"0,10,20,20,30,40,50","남성,여성"
[종로구] 가을캠페인 '가을애(愛)소풍',행사,기타,종로구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
[금천구] 1인가구 자치구 맞춤형 프로그램 <나 혼자 벌어산다>,프로그램,경제/일자리,금천구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
[동작구] 1인가구 자기돌봄프로그램 '마음챙김 식습관',프로그램,기타,동작구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
[도봉구] 1인가구 전문상담 '마음더함 상담소',상담,외로움,도봉구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
<모집 종료> 중장년1인가구지원사업,프로그램,기타,용산구,"40,50,60,70,80,90,100","남성,여성"
사회적관계망 지원 사업 '서로이웃',소모임,외로움,중랑구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
1인가구 심리상담,상담,기타,금천구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
[진행중] 강동구1인가구지원센터 SNS 인증샷 이벤트,프로그램,기타,강동구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
'한끼뚝딱' 요리활동 참여자 모집,프로그램,기타,강동구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
[노원구] 노년기 집단상담 '토닥토닥',상담,기타,노원구,"60,70,80,90,100","남성,여성"
1인가구 건강동아리(플로깅) 모집,소모임,외로움,영등포구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
[노원구] 우리집 가드너(신청마감),프로그램,기타,노원구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
[마감] 우영우(우리들의 영양식 우걱우걱) 참여자 모집,프로그램,기타,강동구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
1인가구 사회적 관계망 활동공유회 [따로 또 같이],소모임,외로움,광진구,"20,30","남성,여성"
강동싱글놀이터 '요가'활동 참여자 모집,프로그램,기타,강동구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
"서울시 1인가구지원사업 '다정한 시네쿡' 1기, 2기 참여자 모집",프로그램,기타,구로구,"40,50,60,70,80,90,100","남성,여성"
[노원구] 에코싱글즈,프로그램,기타,노원구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
[관악구] 은퇴자산관리 코칭프로그램 참여자모집,프로그램,경제/일자리,관악구,"20,30,40,50,60,70,80,90,100","남성,여성"
중장년 1인가구 지원 프로그램 '슬기로운 1인생활',프로그램,기타,종로구,"40,50,60,70,80,90,100","남성,여성"
1인가구 개인상담 '같이 해',프로그램,외로움,영등포구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
[모집 종료],프로그램,기타,용산구,"40,50,60,70,80,90,100","남성,여성"
1인가구 청년 자기이해 프로그램 '어린왕자와 함께 떠나는 마음여행',상담,기타,도봉구,"20,30","남성,여성"
"[서대문구] 움직이긴 싫지만, 건강하고 싶어: 워킹크루",프로그램,기타,서대문구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
[양천구] 1인가구 사회적 관계망 지원 '홀로그램' 모집 안내,프로그램,외로움,양천구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
서울시 1인가구 상담멘토링 멘토/멘티 모집,프로그램,외로움,서대문구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
[영등포구]나만의 선캐처 만들기(완료),프로그램,외로움,영등포구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
1인가구를 위한「1인가구 레스토랑」,프로그램,외로움,서초구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
사회적관계망지원_자조모임,프로그램,기타,광진구,"20,30,40,50","남성,여성"
[모집마감] 1인가구 집수리 교육 참여자 모집,프로그램,주거,서대문구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
[노원구] 관계증진 프로그램 <전지적 1인가구 시점>,프로그램,기타,노원구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
[노원구] 자기돌봄프로그램 <식스팩>,프로그램,기타,노원구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
(단체) 1인가구 사회적관계망 '1인가구 동아리',소모임,외로움,양천구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
힐링요가 프로그램 '나.다.움',프로그램,기타,도봉구,"40,50,60,70,80,90,100","남성,여성"
[진행중] 공구도서관 이용안내,프로그램,기타,강동구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
2024년 서울시 1인가구 상담멘토링 및 1:多멘토링(재능) '멘토' 모집,상담,기타,광진구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
"청년 1인가구 요리?건강 지원사업 '신이나' (신길 이웃, 나랑 할래?)",프로그램,기타,영등포구,"20,30","남성,여성"
"1인가구 주거교육 프로그램(주거기초교육, 공간수납, 홈스타일링)",프로그램,주거,양천구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
[동대문구] 전통시장 장보기 및 식재료 품앗이 '나눔의 미덕',프로그램,기타,동대문구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
1인가구 관계증진프로그램 '슬기로운1인생활' 참여자 모집 [접수 마감],프로그램,기타,동작구,"0,10,20,20,30","남성,여성"
환경캠페인 '에코싱글즈',프로그램,기타,노원구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
1인가구 집단상담 <내 마음 스케치북>,상담,외로움,금천구,"20,30,40,50","남성,여성"
[도봉구] 해피멍냥,프로그램,기타,도봉구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
[종로구] 장?노년기 1인가구 정서지원 프로그램 '2022 새해맞이 쿵떡' <모집완료>,프로그램,기타,종로구,"60,70,80,90,100","남성,여성"
정리수납 교육 (정리수납 2급 자격증 발급 가능-조건 충족시),프로그램,주거,송파구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
1인가구 개인심리상담 [토닥의 Me],상담,외로움,성북구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
에코싱글즈 1기,프로그램,기타,노원구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
[11월 4째주 토요시네마] <내가 죽던 날> 상영,행사,외로움,강남구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
1인가구 동아리 모집,프로그램,외로움,광진구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
강북구 1인가구 청년지원 사업 '청년심(心)터',프로그램,기타,강북구,"20,30","남성,여성"
[노원구] 관계증진 프로그램 <전지적 1인가구 시점> (추가모집),프로그램,기타,노원구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
6대 차류와 함께하는 '소셜 티타임 - 다함께 차차차',프로그램,외로움,송파구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
염리종합복지관 중장년1인가구 사회참여 프로젝트 및 관계망 형성 프로그램 안내,프로그램,외로움,마포구,"40,50,60,70,80,90,100","남성,여성"
(모집완료) [추가모집] [중랑구] 1인가구지원사업 자기관리 (7월),프로그램,기타,중랑구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
(마감) [성동구] 성동구 보건소와 함께하는 성동 건강 한 끼,프로그램,기타,성동구,"40,50,60,70,80,90,100","남성,여성"
[1인] 끼리끼리_우리동네 보물지도 만들기,소모임,외로움,마포구,"40,50","남성,여성"
내게 필요한 경제지식만 쏙! <골라듣는 경제교육>,프로그램,경제/일자리,강남구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
[도봉구] 독립의 맛,프로그램,주거,도봉구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
[서대문구] 지.옥.고 거주 청년 1인가구의 건강성 증진 프로그램 '1로 모여',프로그램,기타,서대문구,"20,30","남성,여성"
1인가구를 위한 눈부신! 씽금라이프 2기,프로그램,외로움,금천구,"40,50","남성,여성"
1랑1랑 봄나들이,프로그램,기타,성북구,"20,30,40,50","남성,여성"
일상이 좋아(부자습관 가난한습관) 참여자 모집,프로그램,경제/일자리,관악구,"0,10,20,20,30","남성,여성"
[구로구] 1인가구 건강루틴 챌린지 '당신근처의친구' (2기) (모집완료),프로그램,기타,구로구,"20,30,40,50","남성,여성"
DIY홈데코 '공간의 미학',프로그램,기타,광진구,"20,30","남성,여성"
6월 공공공감 플리마켓,행사,기타,강남구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
[마포구]40~50대 1인가구를 위한 <내 마음으로 떠나는 여행 Ⅰ>(모집종료),프로그램,외로움,마포구,"40,50","남성,여성"
"웰 다잉, 나 다운 삶 프로그램 안내",프로그램,기타,광진구,"40,50,60,70,80,90,100","남성,여성"
중장년 1인가구 소셜다닝 <웰빙요리 랩소디>,프로그램,기타,중구,"40,50,60,70,80,90,100","남성,여성"
중장년 1인가구 소셜다이닝 행복한 밥상 1기 모집,프로그램,질병,중구,"40,50","남성,여성"
강남 1인가구 김장 프로그램 <함께해요! 1인김장>,프로그램,기타,강남구,"20,30,40,50,60,70,80,90,100","남성,여성"
(마감) 성동구 1인가구를 위[we]한 프로젝트,프로그램,기타,성동구,"20,30","남성,여성"
(모집완료)[서대문구] 청년 및 중장년 1인가구를 위한 재무교육 '돈(Money)워리 I'm happy' 프로그램 참여자 모집,프로그램,경제/일자리,서대문구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
자기돌봄역량강화 '마음건강검진' 참여자 모집,상담,외로움,광진구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
"중장년 자기이해 집단상담 '나의 삶, 중년의 이야기'",상담,기타,도봉구,"40,50,60,70,80,90,100","남성,여성"
2월 월간프로그램'초콜렛 테라피',프로그램,외로움,송파구,"0,10,20,20,30","남성,여성"
[마포구]나의 반려견을 부탁해 참여자모집 (모집 종료),프로그램,외로움,마포구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
[종로구] 1인가구 자립적 생활능력 향상 프로그램 '생활의 기술' 4회기 참여자 2명 추가모집,프로그램,기타,종로구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
1인가구 개인 심리상담  및 심리검사 지원 안내,상담,기타,용산구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
[마감]7월 모두의식당(혼밥프로젝트) 참여자 모집,프로그램,기타,강동구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
1인가구 통증 아웃 : 내 몸 맞춤 스트레칭,프로그램,기타,중구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
[동작구] 사회적 관계망 지원 '원더랜드(One The Land)' 참여자 모집,프로그램,외로움,동작구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
[마포구]1인가구 안전 도어지킴이 설치지원(모집중),프로그램,안전,마포구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
함께하는 공유공방 2월편(피포페인팅),프로그램,기타,영등포구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
행복한 밥상 - 71락 4월 반 모집,프로그램,기타,성동구,"40,50","남성,여성"
[노원구] 자기돌봄프로그램 <식스팩>,프로그램,기타,노원구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
나를 위한 운동처방(부위별 운동),프로그램,질병,성북구,"20,30,40,50","남성,여성"
[동대문구] 1인가구의 건강한 나들이 '나눔의 미덕',프로그램,외로움,동대문구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
살림법 교육 <나만의 펜트하우스>,프로그램,기타,노원구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
1인가구 여가ㆍ문화 지원 '월간문화' 참여자 [4월] 모집,프로그램,기타,종로구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
공유공방 3월(천연 설거지바),프로그램,기타,영등포구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
[1인가구] 건강할결심(건강관리) 참여자모집,프로그램,질병,관악구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
[구로구] 1인가구 특강(11월)_혼밥의 정석 (모집 완료),프로그램,기타,구로구,"20,30,40,50","남성,여성"
[토요시네마] 2023년 1월 둘째주 상영작 휴잭맨 주연의 '위대한 쇼맨',프로그램,기타,강남구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
제 1회 그린하장 개최 안내,행사,기타,성동구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
[노원청년일삶센터] 나답게 사는 마음 문법,프로그램,기타,노원구,"20,30","남성,여성"
(마감) 1인가구 네트워크 파티,프로그램,기타,성동구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
(모집완료)[중랑구] 1인가구지원사업 자기관리(7월),프로그램,기타,중랑구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
1인가구 자치구 맞춤형 '뿌꾸데이(DAY) - 함께 식사하실래요?' 참여자 모집,프로그램,기타,강북구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
미술을 매개로 진행하는 미술심리-개인상담,상담,외로움,성동구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
대세는 빽구! 모루인형 어때용,프로그램,기타,서초구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
[노원구] 에코싱글즈,프로그램,기타,노원구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
[동대문구] 1인가구 주거환경 지원 ‘동일이의 러브하우스’,프로그램,주거,동대문구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
[도봉구] 자기방어훈련,프로그램,안전,도봉구,"0,10,20,20,30,40,50,60,70,80,90,100",여성
[마감]강동 싱글동아리(2기) 참여자 모집,소모임,기타,강동구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
"[1인가구] 1 : 1 전문심리상담 '뿌꾸네 마음 쉼터' (개인상담, 강북구 우선)",상담,기타,강북구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
[노원구] 자기이해와 수용 집단상담 <토닥토닥>,상담,기타,노원구,"60,70,80,90,100","남성,여성"
1인가구 사회적 관계망 지원 자조 모임 '우리 함께 종로' 참여자 모집,소모임,기타,종로구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
[마포구] 2022년 1인가구지원센터 연간 프로그램 안내,프로그램,기타,마포구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
6월 중장년1인가구 소셜다이닝'행복한 밥상'(3기)_ 상세내용 꼭 확인해주세요.,프로그램,기타,송파구,"40,50,60,70,80,90,100","남성,여성"
1인가구 상담멘토링,상담,외로움,영등포구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
[1인가구 여가문화프로그램] '1인가구 공작소-마크라메편' (모집마감),프로그램,기타,강서구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
청년기 집단상담 ‘마인드 제로’,상담,외로움,노원구,"20,30","남성,여성"
[진행중] 하반기 텃밭활동 참여자 모집,프로그램,기타,강동구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
[토요시네마] 4월 3주차 토요시네마 영화 <라라랜드> 상영 안내,프로그램,기타,강남구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
[은평구]1인가구 주거환경 개선 프로그램 '스위트홈- 셀프정리수납프로그램',프로그램,주거,은평구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
1인가구 4월 체력측정(국민체력100) 참여자 모집,프로그램,기타,성동구,"20,30,40,50,60,70,80,90,100","남성,여성"
[노원구] 행복하고 건강한 독립을 위한 '자기돌봄' [신청마감],프로그램,기타,노원구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
마음에 쉼표하나(집단상담프로그램) 추가모집,프로그램,기타,동대문구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
[마감] [1인가구프로그램] '1인가구를 위한 생활로드맵-의식주편 : 의류편',프로그램,기타,강서구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
[동대문구] 1인가구 이웃 간 잉여 생활용품 교환 '빵원마켓',프로그램,기타,동대문구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
[영등포구]1인가구 갓-생 프로젝트 2부: 모임지원(모집완료),소모임,외로움,영등포구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
[강서구]1인가구 프로그램 '나의 건강을 찾아Ⅲ-피부관리편' (마감),프로그램,질병,강서구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
강동구1인가구지원센터 2024년 강동싱글 동아리 모집,프로그램,기타,강동구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
1인가구지원사업 지역 탐방 프로그램 <꽃보다 청년>,프로그램,기타,금천구,"20,30","남성,여성"
[동대문구] 동일이의 초록생활(자치구맞춤형),프로그램,기타,동대문구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
1인가구지원사업 자기관리 3월 힐링클래스 (퍼스널 컬러 및 전선 정리함 만들기),프로그램,기타,중랑구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
1인가구 자기이해 '반려동물매개집단상담',상담,기타,도봉구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
2023 적응할결심_ 영화로운 수다,프로그램,기타,관악구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
1인가구 마음테라피(푸드테라피),상담,기타,중랑구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
[광진구] 1인가구 주거교육 '생생주거정보',프로그램,주거,광진구,"20,30","남성,여성"
[동작구] 2022년 1인가구 여가문화 프로그램 '싱글쿡',프로그램,기타,동작구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
1인가구 상담멘토링 멘티 모집,상담,외로움,구로구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
[주거복지] 1인가구 주거복지 이동상담 <1인가구 주거상담소> 2회차 참여자 모집,상담,주거,강남구,"20,30,40,50,60,70,80,90,100","남성,여성"
공간별 정리수납교육 '나는야 정리왕',프로그램,주거,도봉구,"40,50,60,70,80,90,100","남성,여성"
은평구 1인가구 '나이스샷 은평',프로그램,기타,은평구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
<모집 종료> 알아서 잘 딱 깔끔하게 센스있게! 정리의 달인,프로그램,기타,용산구,"20,30","남성,여성"
(모집완료)[중랑구] 1인가구지원사업 소그룹마음테라피,프로그램,기타,중랑구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
나를 위한 운동처방(부위별 운동)  11/24(목) 참여가능,프로그램,질병,성북구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
2023 중장년 프로그램 '싱글벙글 중장년 힐링 프로그램' 추가모집!!,프로그램,기타,중랑구,"40,50,60,70,80,90,100","남성,여성"
2024년 1인가구 상담멘토링 멘티모집,상담,외로움,강서구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
청년 1인가구 건강증진 식습관 형성 프로그램 '청춘 포레스트',프로그램,기타,도봉구,"0,10,20,20,30,40,50","남성,여성"
[동대문구] 1인가구의 건강한 나들이 '나눔의 미덕',프로그램,기타,동대문구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
부채관리교육 참여자모집,프로그램,경제/일자리,강동구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
1인가구 일상찾기 '나를 살림',프로그램,기타,영등포구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
[소셜다이닝] 중장년 1인가구를 위한 <맛.잘.알 밥상> 참여자 모집,프로그램,외로움,강남구,"40,50","남성,여성"
[노원구] 1인가구가 알아야 할 청년 주거의 모든 것!,프로그램,기타,노원구,"20,30","남성,여성"
[구로구] 1인가구 교육 및 여가문화프로그램 '금요일에 만나요'(모집완료),프로그램,기타,구로구,"20,30,40,50","남성,여성"
1인가구 관계향상프로그램 '와인클래스(WINE CLASS)',프로그램,기타,동작구,"0,10,20,20,30,40,50,60,70,80,90,100",남성
[진행중]11월 겨울철 모두의 식당(혼밥프로젝트) 참여자 모집,프로그램,기타,강동구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
[노원구] 슬기로운 재무관리,프로그램,기타,노원구,"20,30","남성,여성"
"공통프로그램 '헬로, 마이독'",프로그램,기타,노원구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
[광진구] 1인가구 스트레스 해소를 위한 체험활동 '힐링 라이프',프로그램,기타,광진구,"40,50","남성,여성"
[커뮤니티사업] 신규 회원 대상 <우리 센터 길라잡이>,프로그램,기타,강남구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
"성동워킹플레저 3/30(토), 4/6(토) 같이 걸으실 분~!",프로그램,기타,성동구,"20,30,40,50,60,70,80,90,100","남성,여성"
[강서구] [중장년 1인가구 소셜다이닝 '행복한 밥상'] 저탄고지 라이프 (마감),프로그램,기타,강서구,"40,50,60,70,80,90,100","남성,여성"
마음에 쉼표하나(집단상담),프로그램,기타,동대문구,"0,10,20,20,30,40,50,60,70,80,90,100","남성,여성"
